trend_window,d_threshold,r2_threshold,ema_window,m,M,r,k1,k2,r2_floor,mean_ann_ret,win_rate,total_trades
40,0.001,0.5,20,0.5,10,3,2.0,3.0,0.3,0.025026710727784014,0.44554455445544555,101
40,0.001,0.5,20,0.5,5,3,2.0,3.0,0.3,0.024750043282856387,0.45555555555555555,90
40,0.001,0.5,20,0.5,10,3,2.0,3.0,0.4,0.02334601534654896,0.42574257425742573,101
40,0.001,0.5,20,0.5,5,3,2.0,3.0,0.4,0.022238268424987787,0.43333333333333335,90
40,0.001,0.5,20,0.5,10,3,2.0,2.5,0.3,0.021353972693302834,0.47115384615384615,104
40,0.001,0.5,20,0.5,10,3,2.0,2.5,0.4,0.02038649292526356,0.4519230769230769,104
40,0.001,0.6,20,0.5,10,3,2.0,2.5,0.3,0.02008194384100169,0.5375,80
40,0.003,0.5,20,0.5,5,3,2.0,3.0,0.3,0.019585476003901776,0.40298507462686567,67
40,0.001,0.5,20,0.5,5,3,2.0,2.5,0.3,0.01875840223371719,0.4731182795698925,93
40,0.001,0.6,20,0.5,10,3,2.0,2.5,0.4,0.017383006792846458,0.5,80
40,0.003,0.5,20,0.5,10,3,2.0,3.0,0.3,0.017363690154391247,0.38961038961038963,77
40,0.001,0.5,20,0.5,5,3,2.0,2.5,0.4,0.017047472655575675,0.45161290322580644,93
60,0.001,0.5,20,0.5,10,3,2.0,3.0,0.3,0.01686960779487196,0.4322033898305085,118
40,0.003,0.5,20,0.5,5,3,2.0,3.0,0.4,0.01598759476176581,0.3880597014925373,67
60,0.001,0.5,20,0.5,10,3,2.0,3.0,0.4,0.015908085331863435,0.4406779661016949,118
40,0.001,0.6,20,0.5,10,3,2.0,3.0,0.3,0.015746938647482642,0.4936708860759494,79
40,0.001,0.5,20,0.5,10,3,2.0,2.0,0.4,0.015702922277019478,0.44036697247706424,109
40,0.001,0.5,30,0.5,5,3,2.0,2.5,0.3,0.01462978124930698,0.4444444444444444,45
40,0.003,0.5,20,0.5,10,3,2.0,3.0,0.4,0.014573872543329683,0.37662337662337664,77
40,0.001,0.6,30,0.5,10,3,2.0,2.5,0.3,0.014426394904911821,0.5428571428571428,35
40,0.001,0.6,20,0.5,5,3,2.0,2.5,0.3,0.014324883558985325,0.5303030303030303,66
40,0.003,0.6,20,0.5,10,3,2.0,2.5,0.3,0.01402599527482361,0.5,64
40,0.001,0.6,30,0.5,10,3,2.0,3.0,0.3,0.014011057636370498,0.5142857142857142,35
60,0.001,0.5,30,0.5,10,3,2.0,3.0,0.3,0.013974013455887065,0.43209876543209874,81
40,0.001,0.5,20,0.5,5,3,2.0,2.0,0.4,0.013846765558716938,0.44329896907216493,97
40,0.001,0.6,20,0.5,5,3,2.0,3.0,0.3,0.013797048257368764,0.49230769230769234,65
40,0.001,0.5,30,0.5,5,3,2.0,3.0,0.3,0.013470174500972494,0.4444444444444444,45
60,0.001,0.5,20,0.5,10,3,2.0,2.5,0.3,0.012875021652090042,0.4251968503937008,127
60,0.001,0.5,20,0.5,10,3,2.0,2.5,0.4,0.012805293018629735,0.4330708661417323,127
40,0.003,0.5,20,0.5,10,3,2.0,2.5,0.3,0.012659848196410048,0.43037974683544306,79
40,0.003,0.6,20,0.5,5,3,2.0,3.0,0.3,0.012632231942434038,0.46296296296296297,54
40,0.001,0.6,20,0.5,10,3,2.0,3.0,0.4,0.012536994609407085,0.45569620253164556,79
40,0.003,0.5,20,0.5,5,3,2.0,2.5,0.3,0.012422055466966434,0.43478260869565216,69
40,0.003,0.6,20,0.5,5,3,2.0,2.5,0.3,0.012362870024569558,0.4909090909090909,55
40,0.001,0.6,30,0.5,5,3,2.0,2.5,0.3,0.012144244382836776,0.5185185185185185,27
60,0.001,0.6,30,0.5,10,3,2.0,3.0,0.3,0.012011721273580375,0.4153846153846154,65
40,0.001,0.5,30,0.5,10,3,2.0,2.5,0.3,0.011992119014379379,0.41818181818181815,55
40,0.001,0.6,30,0.5,5,3,2.0,3.0,0.3,0.011922959122113485,0.5185185185185185,27
60,0.001,0.5,30,0.5,10,3,2.0,3.0,0.4,0.011809869811776971,0.4444444444444444,81
40,0.003,0.6,30,0.5,10,3,2.0,2.5,0.3,0.011685281472637206,0.46153846153846156,26
40,0.003,0.6,30,0.5,10,3,2.0,3.0,0.3,0.01162938604188293,0.4230769230769231,26
40,0.001,0.5,30,0.5,10,3,2.0,3.0,0.3,0.01156466689950465,0.4,55
40,0.001,0.6,20,0.5,10,3,2.0,2.0,0.4,0.011564315795138391,0.4470588235294118,85
40,0.003,0.6,20,0.5,10,3,2.0,3.0,0.3,0.011498528300519487,0.4603174603174603,63
40,0.001,0.5,20,1.0,10,3,2.0,3.0,0.4,0.011420510256594272,0.5384615384615384,39
60,0.001,0.6,20,0.5,10,3,2.0,3.0,0.3,0.011406336465770753,0.4095238095238095,105
40,0.001,0.5,20,0.5,10,3,2.0,2.0,0.3,0.011309627201390084,0.43119266055045874,109
40,0.001,0.6,20,0.5,5,3,2.0,2.5,0.4,0.011294642048232014,0.48484848484848486,66
40,0.003,0.6,30,0.5,5,3,2.0,2.5,0.3,0.011245083713491064,0.45,20
60,0.001,0.6,30,0.5,10,3,2.0,3.0,0.4,0.011057881709855062,0.4153846153846154,65
40,0.003,0.6,30,0.5,5,3,2.0,3.0,0.3,0.011033556140685415,0.45,20
60,0.001,0.6,20,0.5,10,3,2.0,3.0,0.4,0.010749742665494456,0.4095238095238095,105
40,0.003,0.5,20,0.5,10,3,2.0,2.5,0.4,0.010593238825244112,0.4177215189873418,79
40,0.001,0.5,20,1.0,10,3,2.0,2.5,0.4,0.010558674374738909,0.5384615384615384,39
40,0.003,0.6,20,0.5,10,3,2.0,2.5,0.4,0.010502191124213085,0.46875,64
40,0.001,0.5,20,1.0,5,3,2.0,2.5,0.4,0.010363311552026534,0.5428571428571428,35
40,0.001,0.5,30,0.5,5,3,2.0,2.5,0.4,0.010325096780801044,0.4,45
40,0.001,0.6,20,0.5,5,3,2.0,2.0,0.4,0.010284386033967073,0.45714285714285713,70
40,0.001,0.5,20,0.5,5,3,2.0,2.0,0.3,0.010282469272569705,0.44329896907216493,97
40,0.001,0.6,20,0.5,5,3,2.0,3.0,0.4,0.010186914556666364,0.4461538461538462,65
40,0.001,0.5,20,1.0,5,3,2.0,3.0,0.4,0.010184677013238762,0.5428571428571428,35
60,0.001,0.5,20,1.0,10,3,2.0,3.0,0.3,0.010098387622682904,0.4225352112676056,71
60,0.001,0.6,20,0.5,10,3,2.0,2.5,0.4,0.00986028652716395,0.42342342342342343,111
40,0.003,0.5,20,0.5,5,3,2.0,2.5,0.4,0.009635291732450714,0.42028985507246375,69
60,0.001,0.5,20,1.0,10,3,2.0,3.0,0.4,0.009572971168313559,0.43661971830985913,71
40,0.001,0.6,20,1.0,10,3,2.0,3.0,0.4,0.009547083348215833,0.5625,32
40,0.003,0.5,20,0.5,5,3,2.0,2.0,0.4,0.009448250093518216,0.4305555555555556,72
60,0.001,0.5,30,0.5,10,3,2.0,2.5,0.3,0.009436905926542179,0.40963855421686746,83
40,0.001,0.6,30,0.5,10,3,2.0,2.5,0.4,0.009406645168290028,0.5142857142857142,35
40,0.003,0.5,30,0.5,5,3,2.0,2.5,0.3,0.009304500990869744,0.3548387096774194,31
60,0.001,0.5,30,0.5,10,3,2.0,2.5,0.4,0.009259112443808911,0.42168674698795183,83
40,0.001,0.5,30,0.5,5,3,2.0,3.0,0.4,0.009125475504972657,0.4,45
40,0.003,0.5,30,0.5,5,3,2.0,3.0,0.3,0.009104406821173971,0.3548387096774194,31
40,0.001,0.6,30,0.5,10,3,2.0,3.0,0.4,0.00907110661165094,0.4857142857142857,35
40,0.001,0.5,20,1.0,10,3,2.0,3.0,0.3,0.00895679389202871,0.48717948717948717,39
40,0.003,0.5,20,0.5,10,3,2.0,2.0,0.4,0.008899373132450828,0.40963855421686746,83
40,0.003,0.6,20,0.5,5,3,2.0,2.0,0.4,0.00880469354350455,0.4482758620689655,58
40,0.001,0.6,20,1.0,10,3,2.0,2.5,0.4,0.008683223231622838,0.5625,32
60,0.001,0.6,30,0.5,10,3,2.0,2.5,0.4,0.008654731072845694,0.42424242424242425,66
60,0.001,0.6,20,0.5,10,3,2.0,2.5,0.3,0.008632626264092867,0.4144144144144144,111
40,0.003,0.5,30,0.5,10,3,2.0,2.5,0.3,0.008565864313585957,0.358974358974359,39
40,0.003,0.6,20,0.5,5,3,2.0,2.5,0.4,0.00855355918934158,0.45454545454545453,55
40,0.003,0.5,30,0.5,10,3,2.0,3.0,0.3,0.008506699252739046,0.3333333333333333,39
60,0.001,0.5,20,0.5,5,3,2.0,3.0,0.3,0.00842332456924714,0.42990654205607476,107
40,0.001,0.5,30,0.5,10,3,2.0,2.5,0.4,0.008400782426428931,0.4,55
40,0.003,0.6,20,0.5,10,3,2.0,2.0,0.4,0.008356905983741158,0.4264705882352941,68
40,0.003,0.6,20,0.5,5,3,2.0,3.0,0.4,0.008246210445489097,0.42592592592592593,54
40,0.001,0.6,20,0.5,10,3,2.0,2.0,0.3,0.008191570423060401,0.43529411764705883,85
40,0.001,0.5,30,0.5,10,3,2.0,3.0,0.4,0.008051278309396052,0.38181818181818183,55
40,0.001,0.5,20,1.0,10,3,2.0,2.5,0.3,0.008016974293760458,0.48717948717948717,39
40,0.001,0.5,20,1.0,5,3,2.0,3.0,0.3,0.007833054176974405,0.4857142857142857,35
60,0.001,0.6,20,1.0,10,3,2.0,3.0,0.3,0.007831634896310126,0.41379310344827586,58
40,0.001,0.5,20,1.0,5,3,2.0,2.5,0.3,0.007822531091232258,0.4857142857142857,35
40,0.001,0.6,20,1.0,10,3,2.0,3.0,0.3,0.00774939209417168,0.53125,32
60,0.001,0.6,30,0.5,10,3,2.0,2.5,0.3,0.007657162371322178,0.4090909090909091,66
40,0.003,0.6,20,0.5,10,3,2.0,3.0,0.4,0.007480168429647629,0.42857142857142855,63
60,0.001,0.6,20,1.0,10,3,2.0,3.0,0.4,0.007458709666422443,0.41379310344827586,58
60,0.001,0.5,20,0.5,5,3,2.0,3.0,0.4,0.007446673849931917,0.42990654205607476,107
40,0.001,0.6,20,0.5,5,3,2.0,2.0,0.3,0.007335684699778818,0.45714285714285713,70
40,0.001,0.5,20,1.0,10,3,2.0,2.0,0.4,0.007201180431306649,0.46153846153846156,39
40,0.001,0.5,20,1.0,5,3,2.0,2.0,0.4,0.0071858455286766265,0.45714285714285713,35
40,0.003,0.6,20,1.0,10,3,2.0,3.0,0.4,0.007097659984531552,0.5416666666666666,24
40,0.001,0.6,30,0.5,5,3,2.0,2.5,0.4,0.007069460193527055,0.48148148148148145,27
40,0.003,0.5,20,1.0,10,3,2.0,3.0,0.4,0.006947502726368497,0.5,30
40,0.001,0.6,30,0.5,5,3,2.0,3.0,0.4,0.006820886295028873,0.48148148148148145,27
40,0.001,0.6,20,1.0,10,3,2.0,2.5,0.3,0.006807405329329009,0.53125,32
40,0.003,0.6,20,0.5,5,3,2.0,2.0,0.3,0.006802305764824286,0.4482758620689655,58
40,0.001,0.6,20,1.0,5,3,2.0,2.5,0.4,0.006668406477009787,0.5384615384615384,26
40,0.003,0.5,20,0.5,5,3,2.0,2.0,0.3,0.006636936599637772,0.4166666666666667,72
40,0.001,0.6,20,1.0,5,3,2.0,3.0,0.4,0.006627442809209867,0.5384615384615384,26
40,0.003,0.6,20,1.0,10,3,2.0,2.5,0.4,0.006190691117675796,0.5,24
40,0.003,0.5,20,1.0,10,3,2.0,2.5,0.4,0.006041564046172991,0.4666666666666667,30
60,0.001,0.5,30,0.5,5,3,2.0,3.0,0.3,0.0060353154106565065,0.4225352112676056,71
40,0.003,0.6,20,0.5,10,3,2.0,2.0,0.3,0.00592071344795105,0.4117647058823529,68
40,0.003,0.6,30,0.5,10,3,2.0,3.0,0.4,0.005748055456292435,0.38461538461538464,26
40,0.001,0.6,20,1.0,5,3,2.0,2.0,0.4,0.005745828414334415,0.38461538461538464,26
40,0.003,0.6,30,0.5,10,3,2.0,2.5,0.4,0.005719361553295148,0.4230769230769231,26
60,0.001,0.5,20,0.5,10,3,2.0,2.0,0.4,0.005656075085970398,0.4084507042253521,142
60,0.001,0.6,30,1.0,10,3,2.0,3.0,0.3,0.005558847553558708,0.44,25
40,0.001,0.5,30,0.5,5,3,2.0,2.0,0.4,0.005427552344649287,0.4,45
40,0.003,0.6,20,1.0,5,3,2.0,3.0,0.4,0.0053979888815526905,0.55,20
60,0.001,0.6,30,0.5,5,3,2.0,3.0,0.3,0.0053086899586988695,0.42857142857142855,56
40,0.003,0.6,20,1.0,10,3,2.0,3.0,0.3,0.005294233804115089,0.5,24
60,0.001,0.6,30,1.0,10,3,2.0,3.0,0.4,0.005277798710696373,0.4,25
40,0.003,0.6,20,1.0,5,3,2.0,2.0,0.4,0.005265324913724568,0.4,20
40,0.003,0.5,20,0.5,10,3,2.0,2.0,0.3,0.005258146478516535,0.3855421686746988,83
40,0.003,0.5,20,1.0,5,3,2.0,3.0,0.4,0.005248242060976664,0.5,26
40,0.003,0.6,30,0.5,5,3,2.0,2.5,0.4,0.005236096301029441,0.4,20
40,0.003,0.5,20,1.0,5,3,2.0,2.0,0.4,0.005115671054005838,0.38461538461538464,26
40,0.001,0.6,20,1.0,10,3,2.0,2.0,0.4,0.005100337572489511,0.40625,32
60,0.001,0.6,30,1.0,10,3,2.0,2.5,0.4,0.0050324839661067084,0.36,25
40,0.003,0.6,30,0.5,5,3,2.0,3.0,0.4,0.004997280090448901,0.4,20
40,0.001,0.6,20,1.0,5,3,2.0,3.0,0.3,0.004935008588045606,0.5,26
40,0.003,0.6,20,1.0,5,3,2.0,2.5,0.4,0.0049302305808731255,0.5,20
40,0.001,0.6,20,1.0,5,3,2.0,2.5,0.3,0.004793320569506876,0.5,26
40,0.003,0.5,20,1.0,5,3,2.0,2.5,0.4,0.00478088800847228,0.46153846153846156,26
40,0.001,0.6,30,0.5,5,3,2.0,2.0,0.4,0.004653499672483161,0.4444444444444444,27
60,0.001,0.5,30,1.0,10,3,2.0,3.0,0.3,0.0044959824402993126,0.40540540540540543,37
40,0.003,0.5,20,1.0,10,3,2.0,3.0,0.3,0.004484690178667792,0.43333333333333335,30
60,0.001,0.6,30,0.5,5,3,2.0,3.0,0.4,0.0044746664525075535,0.42857142857142855,56
40,0.001,0.5,20,1.0,10,3,2.0,2.0,0.3,0.004425807630111639,0.41025641025641024,39
40,0.001,0.5,20,1.0,5,3,2.0,2.0,0.3,0.004409474893266017,0.4,35
40,0.001,0.6,30,0.5,10,3,2.0,2.0,0.4,0.004318376176765942,0.45714285714285713,35
40,0.003,0.6,20,1.0,10,3,2.0,2.5,0.3,0.004314492703384798,0.4583333333333333,24
40,0.001,0.5,30,0.5,5,3,2.0,2.0,0.3,0.004277327395563474,0.4222222222222222,45
40,0.003,0.5,30,0.5,5,3,2.0,2.5,0.4,0.004236986278527693,0.3225806451612903,31
60,0.001,0.5,20,0.5,10,3,2.0,2.0,0.3,0.004233419328617131,0.4014084507042254,142
40,0.003,0.6,30,0.5,5,3,2.0,2.0,0.3,0.004121194764463043,0.4,20
