,调仓时间,卖出,卖出价,买入,买入价,调仓后净值
223,2026-03-19 开盘,黄金ETF,10.2830,创业板,3.2970,22.8827
222,2026-03-12 开盘,日经ETF,1.9500,黄金ETF,10.9280,24.3204
221,2026-03-02 开盘,南方原油,1.5830,日经ETF,2.1110,26.4055
220,2026-02-06 开盘,黄金ETF,10.0790,南方原油,1.1900,21.1122
219,2026-02-03 开盘,科创板,1.5200,黄金ETF,10.3550,20.5083
218,2026-01-30 开盘,黄金ETF,11.4710,科创板,1.5660,21.2154
217,2026-01-22 开盘,创业板,3.2980,黄金ETF,10.2900,18.9630
216,2026-01-16 开盘,上证180,4.1800,创业板,3.3820,19.1633
215,2026-01-13 开盘,科创板,1.5830,上证180,4.2820,19.7738
214,2026-01-05 开盘,黄金ETF,9.4210,科创板,1.3950,18.0607
213,2025-11-26 开盘,30年国债,118.6880,黄金ETF,9.0150,16.7749
212,2025-11-19 开盘,纳指100,1.8350,30年国债,119.8840,16.9135
211,2025-11-18 开盘,日经ETF,1.8430,纳指100,1.8810,17.0687
210,2025-11-06 开盘,纳指100,1.9230,日经ETF,1.9330,18.3554
209,2025-10-30 开盘,日经ETF,1.9720,纳指100,1.9970,18.8880
208,2025-10-21 开盘,纳指100,1.8880,日经ETF,1.9290,18.3170
207,2025-10-20 开盘,黄金ETF,9.3080,纳指100,1.8350,18.3389
206,2025-10-14 开盘,创业板,3.0930,黄金ETF,9.1000,17.4740
205,2025-09-22 开盘,黄金ETF,8.0050,创业板,3.0680,17.6700
204,2025-09-15 开盘,科创板,1.3390,黄金ETF,7.9080,17.4446
203,2025-09-05 开盘,上证180,3.9500,科创板,1.2300,16.8003
202,2025-08-27 开盘,创业板,2.7160,上证180,4.0340,16.0303
201,2025-08-26 开盘,科创板,1.2760,创业板,2.7270,16.3669
200,2025-08-05 开盘,创业板,2.3260,科创板,1.1180,14.3999
199,2025-07-02 开盘,南方原油,1.2070,创业板,2.1230,13.0502
198,2025-06-27 开盘,科创板,1.0060,南方原油,1.2280,13.3997
197,2025-06-26 开盘,30年国债,124.4540,科创板,1.0180,13.3840
196,2025-06-23 开盘,南方原油,1.4070,30年国债,125.4960,13.6787
195,2025-06-16 开盘,纳指100,1.5610,南方原油,1.3080,12.6327
194,2025-05-14 开盘,日经ETF,1.4380,纳指100,1.5460,12.8132
193,2025-05-09 开盘,黄金ETF,7.5020,日经ETF,1.4420,12.7679
192,2025-03-25 开盘,港股科技,1.1500,黄金ETF,6.7580,11.4768
191,2025-03-12 开盘,科创板,1.0580,港股科技,1.1890,11.5309
190,2025-03-03 开盘,创业板,2.1330,科创板,1.0150,11.3796
189,2025-02-28 开盘,科创板,1.0500,创业板,2.1970,11.3643
188,2025-02-12 开盘,港股科技,0.9940,科创板,0.9670,11.0174
187,2025-02-10 开盘,黄金ETF,6.4600,港股科技,0.9950,11.0012
186,2025-02-06 开盘,南方原油,1.2880,黄金ETF,6.4410,10.7513
185,2025-01-10 开盘,30年国债,124.0000,南方原油,1.2860,10.8528
184,2025-01-03 开盘,纳指100,1.6390,30年国债,126.9110,10.9983
183,2024-11-22 开盘,科创板,0.9500,纳指100,1.5190,10.2885
182,2024-11-13 开盘,纳指100,1.5300,科创板,1.0010,10.9024
181,2024-11-12 开盘,黄金ETF,5.8300,纳指100,1.5350,10.8908
180,2024-11-05 开盘,科创板,0.8860,黄金ETF,6.0030,11.2235
179,2024-11-01 开盘,创业板,2.1040,科创板,0.8900,10.9503
178,2024-10-31 开盘,港股科技,0.8560,创业板,2.1050,11.3877
177,2024-10-30 开盘,上证180,3.7740,港股科技,0.8720,11.3078
176,2024-10-28 开盘,黄金ETF,5.9860,上证180,3.7860,11.6040
175,2024-10-11 开盘,上证180,3.8250,黄金ETF,5.7150,11.1012
174,2024-10-10 开盘,科创板,0.9330,上证180,3.7410,11.0745
173,2024-10-09 开盘,创业板,2.4100,科创板,0.9900,10.8336
172,2024-10-08 开盘,港股科技,0.9680,创业板,2.6780,12.7866
171,2024-09-06 开盘,日经ETF,1.4110,港股科技,0.6560,8.6211
170,2024-08-29 开盘,黄金ETF,5.5390,日经ETF,1.4850,9.1011
169,2024-08-22 开盘,30年国债,115.0840,黄金ETF,5.5350,9.1207
168,2024-07-31 开盘,黄金ETF,5.4100,30年国债,116.1840,9.2065
167,2024-07-25 开盘,日经ETF,1.4230,黄金ETF,5.3880,9.1045
166,2024-07-11 开盘,纳指100,1.5680,日经ETF,1.5960,10.1962
165,2024-05-28 开盘,港股科技,0.6810,纳指100,1.3770,9.1082
164,2024-05-24 开盘,纳指100,1.3640,港股科技,0.6900,8.9906
163,2024-05-23 开盘,科创板,0.8140,纳指100,1.3750,9.3419
162,2024-05-17 开盘,港股科技,0.7310,科创板,0.8070,9.4022
161,2024-05-08 开盘,上证180,3.4200,港股科技,0.7000,8.7595
160,2024-05-07 开盘,黄金ETF,5.2780,上证180,3.4240,8.8620
159,2024-04-02 开盘,南方原油,1.3140,黄金ETF,5.1370,8.6760
158,2024-03-27 开盘,黄金ETF,4.9770,南方原油,1.2780,8.4107
157,2024-03-26 开盘,创业板,1.7820,黄金ETF,4.9590,8.4005
156,2024-03-20 开盘,港股科技,0.6450,创业板,1.8480,8.7458
155,2024-03-14 开盘,创业板,1.8410,港股科技,0.6650,8.8654
154,2024-03-05 开盘,上证180,3.3140,创业板,1.7710,8.6980
153,2024-02-26 开盘,纳指100,1.3110,上证180,3.3020,8.5084
