trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20171127,159915.SZ,1.678,1.671,1.692,1.657,1.66,-0.018,-1.0727,1068216.44,178740.678,1.671,1.692,1.657,1.66
20171128,159915.SZ,1.66,1.66,1.686,1.658,1.682,0.022,1.3253,1356761.94,227008.829,1.66,1.686,1.658,1.682
20171129,159915.SZ,1.682,1.682,1.684,1.661,1.674,-0.008,-0.4756,787181.7,131678.938,1.682,1.684,1.661,1.674
20171130,159915.SZ,1.674,1.673,1.681,1.657,1.663,-0.011,-0.6571,648333.04,108244.149,1.673,1.681,1.657,1.663
20171201,159915.SZ,1.663,1.665,1.695,1.662,1.687,0.024,1.4432,1466778.92,247085.286,1.665,1.695,1.662,1.687
20171204,159915.SZ,1.687,1.683,1.692,1.673,1.676,-0.011,-0.652,1156241.75,194697.807,1.683,1.692,1.673,1.676
20171205,159915.SZ,1.676,1.674,1.679,1.632,1.644,-0.032,-1.9093,1209396.96,199778.563,1.674,1.679,1.632,1.644
20171206,159915.SZ,1.644,1.647,1.664,1.631,1.663,0.019,1.1557,2725131.98,449955.323,1.647,1.664,1.631,1.663
20171207,159915.SZ,1.663,1.662,1.673,1.654,1.656,-0.007,-0.4209,1327840.53,220821.668,1.662,1.673,1.654,1.656
20171208,159915.SZ,1.656,1.656,1.688,1.654,1.675,0.019,1.1473,1088584.18,182349.395,1.656,1.688,1.654,1.675
20171211,159915.SZ,1.675,1.682,1.698,1.678,1.698,0.023,1.3731,1174630.43,198409.111,1.682,1.698,1.678,1.698
20171212,159915.SZ,1.698,1.698,1.699,1.675,1.675,-0.023,-1.3545,707964.1,119597.301,1.698,1.699,1.675,1.675
20171213,159915.SZ,1.675,1.679,1.692,1.67,1.691,0.016,0.9552,786222.74,132199.735,1.679,1.692,1.67,1.691
20171214,159915.SZ,1.691,1.689,1.692,1.674,1.68,-0.011,-0.6505,741366.48,124568.443,1.689,1.692,1.674,1.68
20171215,159915.SZ,1.68,1.681,1.684,1.666,1.673,-0.007,-0.4167,957790.54,160367.344,1.681,1.684,1.666,1.673
20171218,159915.SZ,1.673,1.673,1.676,1.66,1.667,-0.006,-0.3586,570027.41,95003.881,1.673,1.676,1.66,1.667
20171219,159915.SZ,1.667,1.668,1.688,1.668,1.683,0.016,0.9598,1220989.44,205326.316,1.668,1.688,1.668,1.683
20171220,159915.SZ,1.683,1.68,1.682,1.661,1.661,-0.022,-1.3072,668019.94,111648.626,1.68,1.682,1.661,1.661
20171221,159915.SZ,1.661,1.659,1.68,1.647,1.668,0.007,0.4214,878279.05,146251.146,1.659,1.68,1.647,1.668
20171222,159915.SZ,1.668,1.669,1.676,1.662,1.663,-0.005,-0.2998,558833.99,93269.899,1.669,1.676,1.662,1.663
20171225,159915.SZ,1.663,1.662,1.663,1.634,1.642,-0.021,-1.2628,1037449.47,170675.38,1.662,1.663,1.634,1.642
