trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20171127,501018.SH,1.011,1.015,1.015,1.007,1.009,-0.002,-0.1978,8874.04,895.604,1.015,1.015,1.007,1.009
20171128,501018.SH,1.009,0.995,1.0,0.992,0.998,-0.011,-1.0902,13387.08,1335.187,0.995,1.0,0.992,0.998
20171129,501018.SH,0.998,0.998,1.002,0.998,1.0,0.002,0.2004,5232.32,523.209,0.998,1.002,0.998,1.0
20171130,501018.SH,1.0,1.0,1.0,0.996,0.998,-0.002,-0.2,1842.57,183.902,1.0,1.0,0.996,0.998
20171201,501018.SH,0.998,0.999,0.999,0.994,0.998,0.0,0.0,4393.0,437.541,0.999,0.999,0.994,0.998
20171204,501018.SH,0.998,1.008,1.01,1.005,1.006,0.008,0.8016,8121.33,817.58,1.008,1.01,1.005,1.006
20171205,501018.SH,1.006,0.997,0.998,0.994,0.997,-0.009,-0.8946,20638.57,2055.679,0.997,0.998,0.994,0.997
20171206,501018.SH,0.997,0.999,1.0,0.991,0.996,-0.001,-0.1003,16722.39,1662.397,0.999,1.0,0.991,0.996
20171207,501018.SH,0.996,0.98,0.984,0.97,0.971,-0.025,-2.51,22044.0,2155.266,0.98,0.984,0.97,0.971
20171208,501018.SH,0.971,0.984,0.987,0.983,0.986,0.015,1.5448,26099.48,2570.13,0.984,0.987,0.983,0.986
20171211,501018.SH,0.986,0.993,0.999,0.993,0.997,0.011,1.1156,8782.0,874.778,0.993,0.999,0.993,0.997
20171212,501018.SH,0.997,1.012,1.018,1.008,1.015,0.018,1.8054,15986.05,1622.166,1.012,1.018,1.008,1.015
20171213,501018.SH,1.015,1.015,1.016,1.006,1.009,-0.006,-0.5911,16277.34,1650.956,1.015,1.016,1.006,1.009
20171214,501018.SH,1.009,0.997,0.997,0.987,0.989,-0.02,-1.9822,28294.0,2797.726,0.997,0.997,0.987,0.989
20171215,501018.SH,0.989,0.996,0.997,0.992,0.995,0.006,0.6067,15922.0,1581.948,0.996,0.997,0.992,0.995
20171218,501018.SH,0.995,0.998,1.0,0.995,0.998,0.003,0.3015,65283.59,6504.245,0.998,1.0,0.995,0.998
20171219,501018.SH,0.998,1.0,1.0,0.995,0.998,0.0,0.0,18160.0,1807.141,1.0,1.0,0.995,0.998
20171220,501018.SH,0.998,1.0,1.004,1.0,1.002,0.004,0.4008,6128.0,613.86,1.0,1.004,1.0,1.002
20171221,501018.SH,1.002,1.004,1.007,1.003,1.005,0.003,0.2994,12429.0,1248.953,1.004,1.007,1.003,1.005
