trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20171128,510180.SH,3.507,3.5,3.508,3.471,3.499,-0.008,-0.2281,63983.5,22316.661,3.5,3.508,3.471,3.499
20171129,510180.SH,3.499,3.496,3.516,3.466,3.5,0.001,0.0286,67712.46,23634.332,3.496,3.516,3.466,3.5
20171130,510180.SH,3.5,3.488,3.5,3.458,3.467,-0.033,-0.9429,80345.0,27952.794,3.488,3.5,3.458,3.467
20171201,510180.SH,3.467,3.471,3.474,3.446,3.455,-0.012,-0.3461,71980.0,24884.209,3.471,3.474,3.446,3.455
20171204,510180.SH,3.455,3.45,3.478,3.439,3.47,0.015,0.4342,65583.5,22690.729,3.45,3.478,3.439,3.47
20171205,510180.SH,3.47,3.467,3.514,3.467,3.508,0.038,1.0951,103299.76,36091.742,3.467,3.514,3.467,3.508
20171206,510180.SH,3.508,3.508,3.508,3.442,3.47,-0.038,-1.0832,68891.26,23909.227,3.508,3.508,3.442,3.47
20171207,510180.SH,3.47,3.47,3.472,3.43,3.443,-0.027,-0.7781,54075.75,18655.362,3.47,3.472,3.43,3.443
20171208,510180.SH,3.443,3.437,3.47,3.429,3.466,0.023,0.668,83944.65,28964.939,3.437,3.47,3.429,3.466
20171211,510180.SH,3.466,3.466,3.513,3.456,3.51,0.044,1.2695,98841.94,34477.495,3.466,3.513,3.456,3.51
20171212,510180.SH,3.51,3.508,3.509,3.456,3.457,-0.053,-1.51,35802.5,12477.515,3.508,3.509,3.456,3.457
20171213,510180.SH,3.457,3.46,3.486,3.446,3.48,0.023,0.6653,41252.16,14288.755,3.46,3.486,3.446,3.48
20171214,510180.SH,3.48,3.473,3.487,3.45,3.46,-0.02,-0.5747,34980.0,12124.801,3.473,3.487,3.45,3.46
20171215,510180.SH,3.46,3.453,3.456,3.421,3.424,-0.036,-1.0405,55793.75,19159.807,3.453,3.456,3.421,3.424
20171218,510180.SH,3.424,3.42,3.444,3.412,3.427,0.003,0.0876,54223.25,18594.628,3.42,3.444,3.412,3.427
20171219,510180.SH,3.427,3.425,3.467,3.424,3.467,0.04,1.1672,86431.54,29844.047,3.425,3.467,3.424,3.467
20171220,510180.SH,3.467,3.462,3.478,3.452,3.466,-0.001,-0.0288,46047.5,15966.937,3.462,3.478,3.452,3.466
20171221,510180.SH,3.466,3.466,3.499,3.452,3.487,0.021,0.6059,72279.87,25143.532,3.466,3.499,3.452,3.487
20171222,510180.SH,3.487,3.475,3.495,3.47,3.475,-0.012,-0.3441,56509.39,19684.596,3.475,3.495,3.47,3.475
20171225,510180.SH,3.475,3.475,3.505,3.458,3.467,-0.008,-0.2302,70580.43,24567.362,3.475,3.505,3.458,3.467
20171226,510180.SH,3.467,3.462,3.485,3.456,3.484,0.017,0.4903,77916.36,27049.35,3.462,3.485,3.456,3.484
20171227,510180.SH,3.484,3.484,3.484,3.42,3.427,-0.057,-1.6361,114364.0,39578.202,3.484,3.484,3.42,3.427
20171228,510180.SH,3.427,3.427,3.46,3.418,3.447,0.02,0.5836,101738.14,35010.696,3.427,3.46,3.418,3.447
20171229,510180.SH,3.447,3.444,3.463,3.442,3.457,0.01,0.2901,62191.89,21474.128,3.444,3.463,3.442,3.457
20180102,510180.SH,3.457,3.446,3.506,3.446,3.506,0.049,1.4174,173476.98,60596.77,3.446,3.506,3.446,3.506
20180103,510180.SH,3.506,3.509,3.549,3.506,3.518,0.012,0.3423,83239.57,29356.745,3.509,3.549,3.506,3.518
20180104,510180.SH,3.518,3.529,3.542,3.516,3.533,0.015,0.4264,100481.5,35461.037,3.529,3.542,3.516,3.533
20180105,510180.SH,3.533,3.54,3.554,3.53,3.542,0.009,0.2547,112253.0,39795.805,3.54,3.554,3.53,3.542
20180108,510180.SH,3.542,3.539,3.573,3.539,3.566,0.024,0.6776,105134.49,37380.534,3.539,3.573,3.539,3.566
20180109,510180.SH,3.566,3.565,3.588,3.561,3.586,0.02,0.5609,69871.25,25006.389,3.565,3.588,3.561,3.586
20180110,510180.SH,3.586,3.587,3.609,3.575,3.608,0.022,0.6135,85397.24,30683.916,3.587,3.609,3.575,3.608
20180111,510180.SH,3.608,3.604,3.608,3.583,3.601,-0.007,-0.194,77491.0,27865.696,3.604,3.608,3.583,3.601
20180112,510180.SH,3.601,3.601,3.62,3.595,3.618,0.017,0.4721,85574.28,30888.599,3.601,3.62,3.595,3.618
20180115,510180.SH,3.618,3.618,3.654,3.611,3.624,0.006,0.1658,98162.25,35653.726,3.618,3.654,3.611,3.624
20180116,510180.SH,3.624,3.62,3.645,3.612,3.645,0.021,0.5795,98704.75,35814.297,3.62,3.645,3.612,3.645
20180117,510180.SH,3.645,3.645,3.695,3.635,3.651,0.006,0.1646,121480.26,44569.376,3.645,3.695,3.635,3.651
20180118,510180.SH,3.651,3.65,3.692,3.65,3.679,0.028,0.7669,108477.85,39875.311,3.65,3.692,3.65,3.679
20180119,510180.SH,3.679,3.679,3.718,3.679,3.696,0.017,0.4621,106761.75,39506.635,3.679,3.718,3.679,3.696
20180122,510180.SH,3.696,3.694,3.719,3.687,3.717,0.021,0.5682,116242.12,43114.83,3.694,3.719,3.687,3.717
20180123,510180.SH,3.717,3.719,3.765,3.719,3.763,0.046,1.2376,140739.13,52788.706,3.719,3.765,3.719,3.763
20180124,510180.SH,3.763,3.763,3.784,3.737,3.773,0.01,0.2657,120608.5,45430.831,3.763,3.784,3.737,3.773
20180125,510180.SH,3.773,3.774,3.775,3.721,3.75,-0.023,-0.6096,91460.5,34284.43,3.774,3.775,3.721,3.75
20180126,510180.SH,3.75,3.745,3.796,3.721,3.773,0.023,0.6133,119864.5,45231.234,3.745,3.796,3.721,3.773
20180129,510180.SH,3.773,3.776,3.796,3.701,3.709,-0.064,-1.6963,141857.25,53196.977,3.776,3.796,3.701,3.709
20180130,510180.SH,3.709,3.709,3.72,3.67,3.672,-0.037,-0.9976,138866.53,51343.335,3.709,3.72,3.67,3.672
20180131,510180.SH,3.672,3.661,3.706,3.659,3.702,0.03,0.817,130767.32,48113.815,3.661,3.706,3.659,3.702
20180201,510180.SH,3.702,3.701,3.717,3.666,3.7,-0.002,-0.054,103724.07,38262.209,3.701,3.717,3.666,3.7
20180202,510180.SH,3.7,3.694,3.716,3.642,3.715,0.015,0.4054,156354.24,57632.747,3.694,3.716,3.642,3.715
20180205,510180.SH,3.715,3.681,3.74,3.668,3.74,0.025,0.6729,189482.87,70287.58,3.681,3.74,3.668,3.74
20180206,510180.SH,3.74,3.698,3.71,3.621,3.626,-0.114,-3.0481,217745.01,79540.136,3.698,3.71,3.621,3.626
20180207,510180.SH,3.626,3.666,3.692,3.552,3.56,-0.066,-1.8202,150586.73,54502.522,3.666,3.692,3.552,3.56
20180208,510180.SH,3.56,3.56,3.56,3.427,3.484,-0.076,-2.1348,153658.95,53789.868,3.56,3.56,3.427,3.484
20180209,510180.SH,3.484,3.417,3.418,3.26,3.326,-0.158,-4.535,199964.04,66313.073,3.417,3.418,3.26,3.326
20180212,510180.SH,3.326,3.331,3.36,3.3,3.343,0.017,0.5111,104119.0,34761.139,3.331,3.36,3.3,3.343
20180213,510180.SH,3.343,3.366,3.43,3.366,3.387,0.044,1.3162,89520.25,30465.154,3.366,3.43,3.366,3.387
20180214,510180.SH,3.387,3.387,3.414,3.377,3.411,0.024,0.7086,67307.0,22836.058,3.387,3.414,3.377,3.411
20180222,510180.SH,3.411,3.45,3.482,3.446,3.48,0.069,2.0229,66548.75,23065.811,3.45,3.482,3.446,3.48
20180223,510180.SH,3.48,3.48,3.516,3.474,3.507,0.027,0.7759,90899.74,31770.683,3.48,3.516,3.474,3.507
20180226,510180.SH,3.507,3.517,3.541,3.483,3.53,0.023,0.6558,61850.75,21744.581,3.517,3.541,3.483,3.53
20180227,510180.SH,3.53,3.54,3.54,3.472,3.484,-0.046,-1.3031,101320.33,35433.934,3.54,3.54,3.472,3.484
20180228,510180.SH,3.484,3.456,3.465,3.426,3.442,-0.042,-1.2055,60309.25,20762.289,3.456,3.465,3.426,3.442
20180301,510180.SH,3.442,3.42,3.473,3.412,3.455,0.013,0.3777,66642.67,22981.01,3.42,3.473,3.412,3.455
20180302,510180.SH,3.455,3.421,3.452,3.416,3.428,-0.027,-0.7815,51970.42,17837.704,3.421,3.452,3.416,3.428
20180305,510180.SH,3.428,3.43,3.453,3.41,3.429,0.001,0.0292,41071.75,14081.44,3.43,3.453,3.41,3.429
20180306,510180.SH,3.429,3.429,3.469,3.408,3.468,0.039,1.1374,52702.0,18135.893,3.429,3.469,3.408,3.468
20180307,510180.SH,3.468,3.477,3.492,3.44,3.448,-0.02,-0.5767,69991.01,24298.664,3.477,3.492,3.44,3.448
20180308,510180.SH,3.448,3.443,3.477,3.442,3.477,0.029,0.8411,64069.67,22186.294,3.443,3.477,3.442,3.477
20180309,510180.SH,3.477,3.479,3.494,3.471,3.488,0.011,0.3164,78106.75,27201.269,3.479,3.494,3.471,3.488
20180312,510180.SH,3.488,3.492,3.514,3.487,3.501,0.013,0.3727,62755.05,21970.58,3.492,3.514,3.487,3.501
20180313,510180.SH,3.501,3.5,3.511,3.465,3.467,-0.034,-0.9712,54949.51,19165.953,3.5,3.511,3.465,3.467
20180314,510180.SH,3.467,3.468,3.468,3.447,3.456,-0.011,-0.3173,50866.11,17583.885,3.468,3.468,3.447,3.456
20180315,510180.SH,3.456,3.456,3.48,3.45,3.477,0.021,0.6076,67433.16,23388.467,3.456,3.48,3.45,3.477
20180316,510180.SH,3.477,3.477,3.492,3.45,3.451,-0.026,-0.7478,73384.75,25499.318,3.477,3.492,3.45,3.451
20180319,510180.SH,3.451,3.451,3.47,3.43,3.47,0.019,0.5506,66649.0,23038.127,3.451,3.47,3.43,3.47
20180320,510180.SH,3.47,3.463,3.484,3.43,3.483,0.013,0.3746,64750.5,22458.185,3.463,3.484,3.43,3.483
20180321,510180.SH,3.483,3.484,3.508,3.451,3.467,-0.016,-0.4594,76574.0,26734.766,3.484,3.508,3.451,3.467
20180322,510180.SH,3.467,3.466,3.476,3.42,3.44,-0.027,-0.7788,75614.0,26042.815,3.466,3.476,3.42,3.44
20180323,510180.SH,3.44,3.383,3.383,3.299,3.341,-0.099,-2.8779,207486.03,69187.42,3.383,3.383,3.299,3.341
20180326,510180.SH,3.341,3.322,3.325,3.272,3.307,-0.034,-1.0177,105903.5,34924.327,3.322,3.325,3.272,3.307
20180327,510180.SH,3.307,3.335,3.353,3.304,3.325,0.018,0.5443,88933.07,29589.27,3.335,3.353,3.304,3.325
20180328,510180.SH,3.325,3.309,3.325,3.262,3.268,-0.057,-1.7143,75622.0,24883.596,3.309,3.325,3.262,3.268
20180329,510180.SH,3.268,3.272,3.33,3.226,3.313,0.045,1.377,133902.5,43874.452,3.272,3.33,3.226,3.313
20180330,510180.SH,3.313,3.313,3.322,3.291,3.309,-0.004,-0.1207,59623.75,19715.833,3.313,3.322,3.291,3.309
20180402,510180.SH,3.309,3.31,3.346,3.296,3.3,-0.009,-0.272,63147.0,20948.747,3.31,3.346,3.296,3.3
20180403,510180.SH,3.3,3.287,3.292,3.266,3.282,-0.018,-0.5455,60415.5,19784.326,3.287,3.292,3.266,3.282
20180404,510180.SH,3.282,3.288,3.312,3.273,3.28,-0.002,-0.0609,80194.0,26454.246,3.288,3.312,3.273,3.28
20180409,510180.SH,3.28,3.278,3.295,3.26,3.286,0.006,0.1829,103091.01,33875.569,3.278,3.295,3.26,3.286
20180410,510180.SH,3.286,3.281,3.353,3.281,3.353,0.067,2.039,152871.75,50627.059,3.281,3.353,3.281,3.353
20180411,510180.SH,3.353,3.366,3.374,3.343,3.36,0.007,0.2088,124226.26,41764.937,3.366,3.374,3.343,3.36
20180412,510180.SH,3.36,3.359,3.359,3.323,3.326,-0.034,-1.0119,46752.0,15620.882,3.359,3.359,3.323,3.326
20180413,510180.SH,3.326,3.331,3.348,3.295,3.3,-0.026,-0.7817,50192.5,16637.394,3.331,3.348,3.295,3.3
20180416,510180.SH,3.3,3.3,3.3,3.228,3.241,-0.059,-1.7879,73271.0,23876.462,3.3,3.3,3.228,3.241
20180417,510180.SH,3.241,3.246,3.257,3.196,3.2,-0.041,-1.265,74712.0,24152.925,3.246,3.257,3.196,3.2
20180418,510180.SH,3.2,3.217,3.228,3.176,3.216,0.016,0.5,88904.69,28477.814,3.217,3.228,3.176,3.216
20180419,510180.SH,3.216,3.216,3.262,3.216,3.249,0.033,1.0261,82666.5,26836.031,3.216,3.262,3.216,3.249
