trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20230613,511090.SH,100.597,100.4,101.05,100.35,100.98,0.383,0.3807,14663.66,147576.79,100.4,101.05,100.35,100.98
20230614,511090.SH,100.98,101.342,101.55,101.189,101.299,0.319,0.3159,2621.3,26557.238,101.342,101.55,101.189,101.299
20230615,511090.SH,101.299,101.125,101.205,100.3,100.809,-0.49,-0.4837,4665.1,47081.437,101.125,101.205,100.3,100.809
20230616,511090.SH,100.809,100.309,100.65,100.16,100.289,-0.52,-0.5158,5258.3,52791.565,100.309,100.65,100.16,100.289
20230619,511090.SH,100.289,100.226,100.448,100.226,100.3,0.011,0.011,1076.6,10803.103,100.226,100.448,100.226,100.3
20230620,511090.SH,100.3,100.294,100.38,100.254,100.3,0.0,0.0,200.8,2014.565,100.294,100.38,100.254,100.3
20230621,511090.SH,100.3,100.35,100.649,100.305,100.631,0.331,0.33,1988.2,19983.058,100.35,100.649,100.305,100.631
20230626,511090.SH,100.631,100.64,100.731,100.606,100.731,0.1,0.0994,856.5,8623.225,100.64,100.731,100.606,100.731
20230627,511090.SH,100.731,100.732,100.828,100.62,100.699,-0.032,-0.0318,1530.5,15406.827,100.732,100.828,100.62,100.699
20230628,511090.SH,100.699,100.794,100.795,100.66,100.727,0.028,0.0278,705.0,7101.812,100.794,100.795,100.66,100.727
20230629,511090.SH,100.727,100.73,100.82,100.718,100.82,0.093,0.0923,533.0,5371.364,100.73,100.82,100.718,100.82
20230630,511090.SH,100.82,100.95,101.184,100.95,101.174,0.354,0.3511,2872.8,29040.895,100.95,101.184,100.95,101.174
20230703,511090.SH,101.174,101.177,101.274,101.115,101.155,-0.019,-0.0188,1503.2,15207.487,101.177,101.274,101.115,101.155
20230704,511090.SH,101.155,101.13,101.237,101.055,101.138,-0.017,-0.0168,2038.5,20621.979,101.13,101.237,101.055,101.138
20230705,511090.SH,101.138,101.141,101.229,101.07,101.227,0.089,0.088,1479.6,14960.517,101.141,101.229,101.07,101.227
20230706,511090.SH,101.227,101.24,101.327,101.152,101.222,-0.005,-0.0049,1869.3,18918.741,101.24,101.327,101.152,101.222
20230707,511090.SH,101.222,101.123,101.3,101.123,101.236,0.014,0.0138,2008.8,20332.863,101.123,101.3,101.123,101.236
20230710,511090.SH,101.236,101.236,101.299,101.135,101.279,0.043,0.0425,1943.3,19664.429,101.236,101.299,101.135,101.279
20230711,511090.SH,101.279,101.315,101.379,101.315,101.369,0.09,0.0889,2064.3,20920.897,101.315,101.379,101.315,101.369
20230712,511090.SH,101.369,101.409,101.45,101.351,101.422,0.053,0.0523,1871.0,18967.033,101.409,101.45,101.351,101.422
20230713,511090.SH,101.422,101.422,101.44,101.37,101.429,0.007,0.0069,2036.5,20652.313,101.422,101.44,101.37,101.429
20230714,511090.SH,101.429,101.39,101.4,101.297,101.358,-0.071,-0.07,1787.1,18110.559,101.39,101.4,101.297,101.358
20230717,511090.SH,101.358,101.306,101.483,101.306,101.44,0.082,0.0809,978.7,9923.281,101.306,101.483,101.306,101.44
20230718,511090.SH,101.44,101.49,101.62,101.49,101.613,0.173,0.1705,2083.1,21156.483,101.49,101.62,101.49,101.613
20230719,511090.SH,101.613,101.673,101.86,101.613,101.672,0.059,0.0581,2361.5,24018.834,101.673,101.86,101.613,101.672
20230720,511090.SH,101.672,101.67,101.772,101.59,101.766,0.094,0.0925,2207.9,22443.6,101.67,101.772,101.59,101.766
20230721,511090.SH,101.766,101.768,101.97,101.76,101.967,0.201,0.1975,2884.3,29382.672,101.768,101.97,101.76,101.967
20230724,511090.SH,101.967,102.167,102.167,102.0,102.095,0.128,0.1255,4395.9,44878.995,102.167,102.167,102.0,102.095
20230725,511090.SH,102.095,101.41,102.0,101.41,101.627,-0.468,-0.4584,5872.4,59759.628,101.41,102.0,101.41,101.627
20230726,511090.SH,101.627,101.615,101.62,101.451,101.56,-0.067,-0.0659,8536.2,86630.165,101.615,101.62,101.451,101.56
20230727,511090.SH,101.56,101.66,101.84,101.58,101.818,0.258,0.254,10322.7,104986.655,101.66,101.84,101.58,101.818
20230728,511090.SH,101.818,101.788,101.79,101.58,101.66,-0.158,-0.1552,12439.2,126440.566,101.788,101.79,101.58,101.66
20230731,511090.SH,101.66,101.65,101.655,101.359,101.51,-0.15,-0.1476,11789.6,119703.26,101.65,101.655,101.359,101.51
20230801,511090.SH,101.51,101.519,101.684,101.519,101.605,0.095,0.0936,11892.6,120890.873,101.519,101.684,101.519,101.605
20230802,511090.SH,101.605,101.639,101.765,101.639,101.734,0.129,0.127,13330.0,135616.616,101.639,101.765,101.639,101.734
20230803,511090.SH,101.734,101.747,101.839,101.747,101.829,0.095,0.0934,12143.2,123636.495,101.747,101.839,101.747,101.829
20230804,511090.SH,101.829,101.83,101.977,101.728,101.944,0.115,0.1129,11776.7,119998.924,101.83,101.977,101.728,101.944
20230807,511090.SH,101.944,101.945,102.044,101.945,102.039,0.095,0.0932,10621.0,108327.575,101.945,102.044,101.945,102.039
20230808,511090.SH,102.039,102.04,102.097,102.01,102.047,0.008,0.0078,13665.3,139464.589,102.04,102.097,102.01,102.047
20230809,511090.SH,102.047,102.077,102.107,102.047,102.06,0.013,0.0127,14672.1,149744.3,102.077,102.107,102.047,102.06
20230810,511090.SH,102.06,102.087,102.087,102.004,102.005,-0.055,-0.0539,11993.7,122355.459,102.087,102.087,102.004,102.005
20230811,511090.SH,102.005,102.001,102.095,102.001,102.088,0.083,0.0814,11150.7,113807.925,102.001,102.095,102.001,102.088
20230814,511090.SH,102.088,102.188,102.4,102.091,102.329,0.241,0.2361,13036.8,133392.999,102.188,102.4,102.091,102.329
20230815,511090.SH,102.329,102.429,103.19,102.42,103.08,0.751,0.7339,12828.8,132071.247,102.429,103.19,102.42,103.08
20230816,511090.SH,103.08,103.16,103.35,103.16,103.28,0.2,0.194,10786.4,111350.237,103.16,103.35,103.16,103.28
20230817,511090.SH,103.28,103.38,103.38,103.12,103.16,-0.12,-0.1162,12076.2,124616.231,103.38,103.38,103.12,103.16
20230818,511090.SH,103.16,103.164,103.379,103.083,103.362,0.202,0.1958,10776.4,111291.537,103.164,103.379,103.083,103.362
20230821,511090.SH,103.362,103.449,104.224,103.448,104.204,0.842,0.8146,18821.3,195355.356,103.449,104.224,103.448,104.204
20230822,511090.SH,104.204,104.03,104.204,103.888,104.079,-0.125,-0.12,16703.4,173810.301,104.03,104.204,103.888,104.079
20230823,511090.SH,104.079,104.038,104.243,104.038,104.118,0.039,0.0375,13599.2,141558.884,104.038,104.243,104.038,104.118
20230824,511090.SH,104.118,104.161,104.28,104.129,104.249,0.131,0.1258,17102.7,178236.078,104.161,104.28,104.129,104.249
20230825,511090.SH,104.249,104.309,104.378,104.015,104.053,-0.196,-0.188,14517.1,151339.313,104.309,104.378,104.015,104.053
20230828,511090.SH,104.053,104.0,104.0,102.151,103.933,-0.12,-0.1153,23275.8,241541.134,104.0,104.0,102.151,103.933
20230829,511090.SH,103.933,103.933,104.0,103.595,103.721,-0.212,-0.204,13376.0,138745.846,103.933,104.0,103.595,103.721
20230830,511090.SH,103.721,103.621,103.95,103.447,103.772,0.051,0.0492,13858.0,143851.901,103.621,103.95,103.447,103.772
20230831,511090.SH,103.772,103.811,103.927,103.79,103.873,0.101,0.0973,11774.9,122252.533,103.811,103.927,103.79,103.873
20230901,511090.SH,103.873,103.85,103.85,103.5,103.537,-0.336,-0.3235,8908.0,92322.201,103.85,103.85,103.5,103.537
20230904,511090.SH,103.537,103.26,103.44,102.7,102.705,-0.832,-0.8036,20084.7,206693.107,103.26,103.44,102.7,102.705
20230905,511090.SH,102.705,102.768,102.876,102.662,102.731,0.026,0.0253,11113.4,114179.041,102.768,102.876,102.662,102.731
20230906,511090.SH,102.731,102.729,102.849,102.27,102.289,-0.442,-0.4302,13333.9,136683.622,102.729,102.849,102.27,102.289
20230907,511090.SH,102.289,102.241,102.339,101.85,101.889,-0.4,-0.391,9389.5,95913.946,102.241,102.339,101.85,101.889
20230908,511090.SH,101.889,102.019,103.6,101.89,102.148,0.259,0.2542,12778.5,130470.574,102.019,103.6,101.89,102.148
20230911,511090.SH,102.148,102.099,102.109,101.873,102.071,-0.077,-0.0754,11934.0,121743.015,102.099,102.109,101.873,102.071
20230912,511090.SH,102.071,102.18,102.371,102.18,102.27,0.199,0.195,11873.4,121412.063,102.18,102.371,102.18,102.27
20230913,511090.SH,102.27,102.293,102.47,102.24,102.398,0.128,0.1252,12265.0,125561.273,102.293,102.47,102.24,102.398
20230914,511090.SH,102.398,102.418,102.875,102.375,102.859,0.461,0.4502,11145.2,114311.525,102.418,102.875,102.375,102.859
20230915,511090.SH,102.859,102.959,102.959,102.461,102.498,-0.361,-0.351,14014.0,143799.855,102.959,102.959,102.461,102.498
20230918,511090.SH,102.498,102.313,102.313,101.89,102.103,-0.395,-0.3854,10931.0,111517.338,102.313,102.313,101.89,102.103
20230919,511090.SH,102.103,102.188,102.278,102.111,102.196,0.093,0.0911,12125.0,123925.327,102.188,102.278,102.111,102.196
20230920,511090.SH,102.196,102.146,102.165,102.0,102.057,-0.139,-0.136,6245.1,63756.98,102.146,102.165,102.0,102.057
20230921,511090.SH,102.057,102.09,102.36,102.047,102.355,0.298,0.292,12450.1,127244.569,102.09,102.36,102.047,102.355
20230922,511090.SH,102.355,102.366,102.395,101.979,102.077,-0.278,-0.2716,11473.7,117230.43,102.366,102.395,101.979,102.077
20230925,511090.SH,102.077,102.074,102.082,101.639,101.667,-0.41,-0.4017,10705.1,109052.933,102.074,102.082,101.639,101.667
20230926,511090.SH,101.667,101.667,101.74,101.475,101.715,0.048,0.0472,14400.3,146365.715,101.667,101.74,101.475,101.715
20230927,511090.SH,101.715,101.758,101.849,101.65,101.758,0.043,0.0423,6933.7,70548.626,101.758,101.849,101.65,101.758
20230928,511090.SH,101.758,101.92,102.298,101.84,102.297,0.539,0.5297,1700.0,17356.8,101.92,102.298,101.84,102.297
20231009,511090.SH,102.297,102.297,102.753,102.171,102.201,-0.096,-0.0938,12827.1,131178.142,102.297,102.753,102.171,102.201
20231010,511090.SH,102.201,102.15,102.187,102.07,102.1,-0.101,-0.0988,10896.3,111265.383,102.15,102.187,102.07,102.1
20231011,511090.SH,102.1,101.91,102.1,101.83,101.865,-0.235,-0.2302,8475.1,86356.277,101.91,102.1,101.83,101.865
20231012,511090.SH,101.865,101.665,101.938,101.62,101.908,0.043,0.0422,10187.0,103716.8,101.665,101.938,101.62,101.908
20231013,511090.SH,101.908,101.61,102.15,101.61,102.123,0.215,0.211,10039.2,102447.396,101.61,102.15,101.61,102.123
20231016,511090.SH,102.123,102.173,102.286,102.068,102.198,0.075,0.0734,10463.3,106897.704,102.173,102.286,102.068,102.198
20231017,511090.SH,102.198,102.071,102.173,102.006,102.089,-0.109,-0.1067,8233.5,84038.47,102.071,102.173,102.006,102.089
20231018,511090.SH,102.089,102.053,102.175,101.99,101.997,-0.092,-0.0901,8414.1,85903.668,102.053,102.175,101.99,101.997
20231019,511090.SH,101.997,101.988,101.997,101.605,101.656,-0.341,-0.3343,10656.0,108474.044,101.988,101.997,101.605,101.656
