trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20220208,513020.SH,0.982,0.958,0.958,0.916,0.936,-0.046,-4.6843,1398788.71,129518.904,0.958,0.958,0.916,0.936
20220209,513020.SH,0.936,0.955,0.956,0.943,0.953,0.017,1.8162,659382.11,62576.027,0.955,0.956,0.943,0.953
20220210,513020.SH,0.953,0.962,0.969,0.938,0.946,-0.007,-0.7345,354168.0,33456.374,0.962,0.969,0.938,0.946
20220211,513020.SH,0.946,0.938,0.949,0.925,0.93,-0.016,-1.6913,930901.0,87096.641,0.938,0.949,0.925,0.93
20220214,513020.SH,0.93,0.925,0.928,0.913,0.92,-0.01,-1.0753,485569.0,44589.599,0.925,0.928,0.913,0.92
20220215,513020.SH,0.92,0.916,0.936,0.916,0.935,0.015,1.6304,381712.3,35548.948,0.916,0.936,0.916,0.935
20220216,513020.SH,0.935,0.943,0.956,0.943,0.953,0.018,1.9251,557431.0,53036.047,0.943,0.956,0.943,0.953
20220217,513020.SH,0.953,0.957,0.966,0.858,0.963,0.01,1.0493,265523.0,25428.755,0.957,0.966,0.858,0.963
20220218,513020.SH,0.963,0.951,0.958,0.945,0.948,-0.015,-1.5576,350738.0,33467.495,0.951,0.958,0.945,0.948
20220221,513020.SH,0.948,0.928,0.941,0.919,0.925,-0.023,-2.4262,355075.0,32943.019,0.928,0.941,0.919,0.925
20220222,513020.SH,0.925,0.918,0.918,0.885,0.892,-0.033,-3.5676,378554.0,33910.003,0.918,0.918,0.885,0.892
20220223,513020.SH,0.892,0.897,0.921,0.897,0.921,0.029,3.2511,233472.0,21272.976,0.897,0.921,0.897,0.921
20220224,513020.SH,0.921,0.905,0.909,0.865,0.89,-0.031,-3.3659,279814.25,24981.766,0.905,0.909,0.865,0.89
20220225,513020.SH,0.89,0.895,0.912,0.895,0.901,0.011,1.236,356927.62,32256.61,0.895,0.912,0.895,0.901
20220228,513020.SH,0.901,0.9,0.9,0.877,0.885,-0.016,-1.7758,354004.0,31222.411,0.9,0.9,0.877,0.885
20220301,513020.SH,0.885,0.89,0.915,0.89,0.912,0.027,3.0508,518547.0,46452.101,0.89,0.915,0.89,0.912
20220302,513020.SH,0.912,0.907,0.907,0.881,0.885,-0.027,-2.9605,290914.0,25808.485,0.907,0.907,0.881,0.885
20220303,513020.SH,0.885,0.884,0.886,0.855,0.858,-0.027,-3.0508,388438.0,33526.363,0.884,0.886,0.855,0.858
20220304,513020.SH,0.858,0.828,0.839,0.822,0.825,-0.033,-3.8462,394978.0,32728.052,0.828,0.839,0.822,0.825
20220307,513020.SH,0.825,0.806,0.806,0.773,0.794,-0.031,-3.7576,547875.0,43389.769,0.806,0.806,0.773,0.794
20220308,513020.SH,0.794,0.793,0.8,0.762,0.766,-0.028,-3.5264,227217.0,17751.92,0.793,0.8,0.762,0.766
20220309,513020.SH,0.766,0.77,0.781,0.735,0.752,-0.014,-1.8277,431516.0,32506.98,0.77,0.781,0.735,0.752
20220310,513020.SH,0.752,0.777,0.793,0.766,0.772,0.02,2.6596,364608.0,28241.678,0.777,0.793,0.766,0.772
20220311,513020.SH,0.772,0.742,0.777,0.72,0.767,-0.005,-0.6477,426524.0,31330.504,0.742,0.777,0.72,0.767
20220314,513020.SH,0.767,0.753,0.753,0.696,0.698,-0.069,-8.9961,401053.0,28519.2,0.753,0.753,0.696,0.698
20220315,513020.SH,0.698,0.66,0.702,0.643,0.644,-0.054,-7.7364,640665.0,43525.048,0.66,0.702,0.643,0.644
20220316,513020.SH,0.644,0.68,0.708,0.656,0.708,0.064,9.9379,466776.0,31666.639,0.68,0.708,0.656,0.708
20220317,513020.SH,0.708,0.779,0.779,0.768,0.779,0.071,10.0282,193774.0,15061.423,0.779,0.779,0.768,0.779
20220318,513020.SH,0.779,0.778,0.788,0.754,0.779,0.0,0.0,764043.6,59011.845,0.778,0.788,0.754,0.779
20220321,513020.SH,0.779,0.804,0.806,0.765,0.774,-0.005,-0.6418,521591.0,40728.884,0.804,0.806,0.765,0.774
20220322,513020.SH,0.774,0.771,0.788,0.766,0.783,0.009,1.1628,426254.0,33078.576,0.771,0.788,0.766,0.783
20220323,513020.SH,0.783,0.806,0.839,0.806,0.827,0.044,5.6194,481181.0,39661.552,0.806,0.839,0.806,0.827
20220324,513020.SH,0.827,0.821,0.83,0.805,0.814,-0.013,-1.5719,631898.0,51916.862,0.821,0.83,0.805,0.814
20220325,513020.SH,0.814,0.809,0.82,0.775,0.776,-0.038,-4.6683,658971.0,52949.765,0.809,0.82,0.775,0.776
20220328,513020.SH,0.776,0.776,0.807,0.767,0.789,0.013,1.6753,569212.0,44896.44,0.776,0.807,0.767,0.789
20220329,513020.SH,0.789,0.797,0.815,0.797,0.803,0.014,1.7744,618090.0,49720.523,0.797,0.815,0.797,0.803
20220330,513020.SH,0.803,0.816,0.824,0.806,0.823,0.02,2.4907,566502.0,46267.035,0.816,0.824,0.806,0.823
