trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20171127,513100.SH,2.208,2.21,2.219,2.21,2.219,0.011,0.4982,22343.0,4950.302,2.21,2.219,2.21,2.219
20171128,513100.SH,2.219,2.218,2.224,2.217,2.224,0.005,0.2253,14164.99,3146.399,2.218,2.224,2.217,2.224
20171129,513100.SH,2.224,2.229,2.247,2.229,2.246,0.022,0.9892,43533.99,9736.253,2.229,2.247,2.229,2.246
20171130,513100.SH,2.246,2.218,2.218,2.206,2.214,-0.032,-1.4248,27183.82,6014.94,2.218,2.218,2.206,2.214
20171201,513100.SH,2.214,2.232,2.243,2.228,2.241,0.027,1.2195,18462.0,4131.523,2.232,2.243,2.228,2.241
20171204,513100.SH,2.241,2.241,2.289,2.235,2.262,0.021,0.9371,48493.0,10950.434,2.241,2.289,2.235,2.262
20171205,513100.SH,2.262,2.229,2.229,2.195,2.2,-0.062,-2.7409,48015.0,10608.99,2.229,2.229,2.195,2.2
20171206,513100.SH,2.2,2.194,2.208,2.169,2.175,-0.025,-1.1364,47896.0,10425.308,2.194,2.208,2.169,2.175
20171207,513100.SH,2.175,2.189,2.194,2.179,2.19,0.015,0.6897,17638.5,3863.973,2.189,2.194,2.179,2.19
20171208,513100.SH,2.19,2.2,2.21,2.2,2.21,0.02,0.9132,30727.25,6775.583,2.2,2.21,2.2,2.21
20171211,513100.SH,2.21,2.211,2.22,2.21,2.22,0.01,0.4525,21353.0,4726.131,2.211,2.22,2.21,2.22
20171212,513100.SH,2.22,2.229,2.235,2.227,2.235,0.015,0.6757,23426.25,5229.578,2.229,2.235,2.227,2.235
20171213,513100.SH,2.235,2.231,2.238,2.228,2.237,0.002,0.0895,14217.0,3175.739,2.231,2.238,2.228,2.237
20171214,513100.SH,2.237,2.24,2.245,2.235,2.243,0.006,0.2682,18770.0,4207.338,2.24,2.245,2.235,2.243
20171215,513100.SH,2.243,2.231,2.242,2.227,2.232,-0.011,-0.4904,10010.0,2233.305,2.231,2.242,2.227,2.232
20171218,513100.SH,2.232,2.257,2.266,2.253,2.266,0.034,1.5233,20126.0,4548.779,2.257,2.266,2.253,2.266
20171219,513100.SH,2.266,2.289,2.295,2.27,2.28,0.014,0.6178,23626.0,5387.485,2.289,2.295,2.27,2.28
20171220,513100.SH,2.28,2.27,2.277,2.265,2.276,-0.004,-0.1754,18383.0,4168.332,2.27,2.277,2.265,2.276
20171221,513100.SH,2.276,2.273,2.275,2.26,2.262,-0.014,-0.6151,25032.0,5669.498,2.273,2.275,2.26,2.262
20171222,513100.SH,2.262,2.262,2.27,2.26,2.269,0.007,0.3095,9096.0,2058.704,2.262,2.27,2.26,2.269
20171225,513100.SH,2.269,2.265,2.268,2.252,2.262,-0.007,-0.3085,17162.0,3879.792,2.265,2.268,2.252,2.262
20171226,513100.SH,2.262,2.261,2.264,2.253,2.261,-0.001,-0.0442,18478.0,4173.059,2.261,2.264,2.253,2.261
20171227,513100.SH,2.261,2.256,2.256,2.229,2.234,-0.027,-1.1942,28906.0,6473.126,2.256,2.256,2.229,2.234
20171228,513100.SH,2.234,2.234,2.239,2.221,2.227,-0.007,-0.3133,28880.0,6430.79,2.234,2.239,2.221,2.227
20171229,513100.SH,2.227,2.228,2.231,2.222,2.229,0.002,0.0898,18514.0,4123.673,2.228,2.231,2.222,2.229
20180102,513100.SH,2.229,2.219,2.219,2.206,2.218,-0.011,-0.4935,32037.0,7093.731,2.219,2.219,2.206,2.218
20180103,513100.SH,2.218,2.243,2.251,2.24,2.248,0.03,1.3526,35036.0,7863.53,2.243,2.251,2.24,2.248
20180104,513100.SH,2.248,2.26,2.264,2.248,2.256,0.008,0.3559,31518.0,7107.021,2.26,2.264,2.248,2.256
20180105,513100.SH,2.256,2.256,2.257,2.248,2.25,-0.006,-0.266,31803.0,7162.616,2.256,2.257,2.248,2.25
