trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20190625,513520.SH,1.003,0.99,0.996,0.981,0.991,-0.012,-1.1964,987647.22,97981.257,0.99,0.996,0.981,0.991
20190626,513520.SH,0.991,0.992,0.995,0.99,0.993,0.002,0.2018,328251.66,32588.676,0.992,0.995,0.99,0.993
20190627,513520.SH,0.993,0.996,1.0,0.994,0.999,0.006,0.6042,309612.55,30908.883,0.996,1.0,0.994,0.999
20190628,513520.SH,0.999,0.998,0.999,0.997,0.998,-0.001,-0.1001,157031.0,15671.407,0.998,0.999,0.997,0.998
20190701,513520.SH,0.998,1.001,1.006,1.0,1.003,0.005,0.501,426644.0,42780.522,1.001,1.006,1.0,1.003
20190702,513520.SH,1.003,1.005,1.008,1.003,1.004,0.001,0.0997,307954.55,30977.574,1.005,1.008,1.003,1.004
20190703,513520.SH,1.004,1.004,1.009,1.003,1.008,0.004,0.3984,200981.55,20236.747,1.004,1.009,1.003,1.008
20190704,513520.SH,1.008,1.008,1.012,1.008,1.012,0.004,0.3968,157135.0,15883.327,1.008,1.012,1.008,1.012
20190705,513520.SH,1.012,1.013,1.014,1.011,1.012,0.0,0.0,122574.0,12403.985,1.013,1.014,1.011,1.012
20190708,513520.SH,1.012,1.011,1.012,1.003,1.005,-0.007,-0.6917,42193.0,4237.384,1.011,1.012,1.003,1.005
20190709,513520.SH,1.005,1.005,1.007,1.001,1.003,-0.002,-0.199,18768.0,1882.246,1.005,1.007,1.001,1.003
20190710,513520.SH,1.003,1.001,1.003,1.0,1.0,-0.003,-0.2991,9563.0,957.042,1.001,1.003,1.0,1.0
20190711,513520.SH,1.0,1.001,1.007,1.001,1.007,0.007,0.7,28675.0,2883.913,1.001,1.007,1.001,1.007
20190712,513520.SH,1.007,1.006,1.007,1.004,1.006,-0.001,-0.0993,11659.0,1172.068,1.006,1.007,1.004,1.006
20190715,513520.SH,1.006,1.007,1.015,1.006,1.008,0.002,0.1988,21957.0,2214.354,1.007,1.015,1.006,1.008
20190716,513520.SH,1.008,1.006,1.006,1.003,1.004,-0.004,-0.3968,16515.0,1657.511,1.006,1.006,1.003,1.004
20190717,513520.SH,1.004,1.004,1.004,0.997,1.0,-0.004,-0.3984,9957.0,995.5,1.004,1.004,0.997,1.0
20190718,513520.SH,1.0,0.995,0.995,0.984,0.989,-0.011,-1.1,15965.0,1580.634,0.995,0.995,0.984,0.989
20190719,513520.SH,0.989,0.995,1.005,0.995,1.002,0.013,1.3145,21887.0,2192.794,0.995,1.005,0.995,1.002
20190722,513520.SH,1.002,1.002,1.002,0.996,0.999,-0.003,-0.2994,9456.0,944.911,1.002,1.002,0.996,0.999
20190723,513520.SH,0.999,1.005,1.012,1.005,1.008,0.009,0.9009,44597.0,4494.397,1.005,1.012,1.005,1.008
20190724,513520.SH,1.008,1.011,1.013,1.008,1.011,0.003,0.2976,84570.0,8548.699,1.011,1.013,1.008,1.011
20190725,513520.SH,1.011,1.011,1.014,1.011,1.013,0.002,0.1978,71134.0,7202.974,1.011,1.014,1.011,1.013
20190726,513520.SH,1.013,1.009,1.009,1.002,1.005,-0.008,-0.7897,30947.0,3111.574,1.009,1.009,1.002,1.005
20190729,513520.SH,1.005,1.001,1.005,1.0,1.003,-0.002,-0.199,11290.0,1130.937,1.001,1.005,1.0,1.003
20190730,513520.SH,1.003,1.008,1.009,1.006,1.007,0.004,0.3988,53517.0,5391.826,1.008,1.009,1.006,1.007
20190731,513520.SH,1.007,1.0,1.003,0.999,1.002,-0.005,-0.4965,18867.0,1888.089,1.0,1.003,0.999,1.002
20190801,513520.SH,1.002,0.997,1.0,0.997,0.999,-0.003,-0.2994,20621.0,2058.756,0.997,1.0,0.997,0.999
20190802,513520.SH,0.999,0.991,1.057,0.99,1.0,0.001,0.1001,51159.0,5124.108,0.991,1.057,0.99,1.0
20190805,513520.SH,1.0,0.995,1.011,0.995,1.005,0.005,0.5,70122.0,7054.283,0.995,1.011,0.995,1.005
20190806,513520.SH,1.005,1.004,1.004,0.986,0.995,-0.01,-0.995,32415.0,3208.275,1.004,1.004,0.986,0.995
20190807,513520.SH,0.995,0.995,0.995,0.99,0.994,-0.001,-0.1005,9698.0,962.65,0.995,0.995,0.99,0.994
20190808,513520.SH,0.994,0.996,1.003,0.996,1.003,0.009,0.9054,21264.0,2128.008,0.996,1.003,0.996,1.003
20190809,513520.SH,1.003,1.006,1.009,1.006,1.009,0.006,0.5982,19788.0,1993.716,1.006,1.009,1.006,1.009
20190812,513520.SH,1.009,1.009,1.011,1.007,1.007,-0.002,-0.1982,21509.0,2171.208,1.009,1.011,1.007,1.007
20190813,513520.SH,1.007,1.005,1.005,0.996,1.001,-0.006,-0.5958,9506.0,948.487,1.005,1.005,0.996,1.001
20190814,513520.SH,1.001,1.003,1.01,0.994,0.997,-0.004,-0.3996,20575.0,2050.527,1.003,1.01,0.994,0.997
20190815,513520.SH,0.997,0.99,0.993,0.986,0.993,-0.004,-0.4012,12115.0,1199.445,0.99,0.993,0.986,0.993
20190816,513520.SH,0.993,0.993,0.997,0.988,0.993,0.0,0.0,6674.0,662.237,0.993,0.997,0.988,0.993
20190819,513520.SH,0.993,0.999,0.999,0.993,0.997,0.004,0.4028,6110.0,607.963,0.999,0.999,0.993,0.997
20190820,513520.SH,0.997,0.995,0.999,0.995,0.997,0.0,0.0,8447.0,842.847,0.995,0.999,0.995,0.997
