trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20171128,518880.SH,2.731,2.74,2.746,2.736,2.736,0.005,0.1831,7203472.5,1975118.382,2.74,2.746,2.736,2.736
20171129,518880.SH,2.736,2.739,2.742,2.736,2.738,0.002,0.0731,5291183.53,1449446.238,2.739,2.742,2.736,2.738
20171130,518880.SH,2.738,2.726,2.726,2.715,2.72,-0.018,-0.6574,5880015.89,1599612.734,2.726,2.726,2.715,2.72
20171201,518880.SH,2.72,2.709,2.71,2.701,2.702,-0.018,-0.6618,4897742.47,1325141.024,2.709,2.71,2.701,2.702
20171204,518880.SH,2.702,2.701,2.702,2.696,2.7,-0.002,-0.074,4617758.17,1246273.843,2.701,2.702,2.696,2.7
20171205,518880.SH,2.7,2.702,2.705,2.7,2.702,0.002,0.0741,4487403.94,1212601.179,2.702,2.705,2.7,2.702
20171206,518880.SH,2.702,2.684,2.687,2.682,2.686,-0.016,-0.5922,6747182.0,1810774.561,2.684,2.687,2.682,2.686
20171207,518880.SH,2.686,2.683,2.683,2.66,2.668,-0.018,-0.6701,5992792.0,1604437.466,2.683,2.683,2.66,2.668
20171208,518880.SH,2.668,2.65,2.653,2.647,2.651,-0.017,-0.6372,7942550.07,2104402.512,2.65,2.653,2.647,2.651
20171211,518880.SH,2.651,2.65,2.654,2.649,2.653,0.002,0.0754,4857406.0,1287631.525,2.65,2.654,2.649,2.653
20171212,518880.SH,2.653,2.649,2.651,2.643,2.649,-0.004,-0.1508,8197933.66,2169357.435,2.649,2.651,2.643,2.649
20171213,518880.SH,2.649,2.646,2.654,2.646,2.65,0.001,0.0378,5734789.2,1520164.147,2.646,2.654,2.646,2.65
20171214,518880.SH,2.65,2.672,2.683,2.672,2.674,0.024,0.9057,7722029.63,2065945.925,2.672,2.683,2.672,2.674
20171215,518880.SH,2.674,2.672,2.675,2.67,2.673,-0.001,-0.0374,7208895.0,1926460.35,2.672,2.675,2.67,2.673
20171218,518880.SH,2.673,2.673,2.676,2.669,2.674,0.001,0.0374,7135948.94,1907203.728,2.673,2.676,2.669,2.674
20171219,518880.SH,2.674,2.68,2.69,2.679,2.686,0.012,0.4488,6244089.05,1675684.335,2.68,2.69,2.679,2.686
20171220,518880.SH,2.686,2.685,2.687,2.678,2.68,-0.006,-0.2234,5944634.2,1595562.987,2.685,2.687,2.678,2.68
20171221,518880.SH,2.68,2.679,2.68,2.675,2.676,-0.004,-0.1493,8770102.04,2348958.641,2.679,2.68,2.675,2.676
20171222,518880.SH,2.676,2.676,2.68,2.676,2.678,0.002,0.0747,5737221.65,1536146.022,2.676,2.68,2.676,2.678
20171225,518880.SH,2.678,2.691,2.696,2.691,2.693,0.015,0.5601,7624917.85,2053857.083,2.691,2.696,2.691,2.693
20171226,518880.SH,2.693,2.692,2.692,2.677,2.677,-0.016,-0.5941,8572793.16,2303826.198,2.692,2.692,2.677,2.677
20171227,518880.SH,2.677,2.688,2.696,2.685,2.691,0.014,0.523,11075233.65,2979307.738,2.688,2.696,2.685,2.691
20171228,518880.SH,2.691,2.698,2.712,2.691,2.692,0.001,0.0372,14425286.42,3899335.308,2.698,2.712,2.691,2.692
