trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20230915,588120.SH,0.99,0.989,1.0,0.973,0.988,-0.002,-0.202,4529722.0,447141.79,0.989,1.0,0.973,0.988
20230918,588120.SH,0.988,0.969,0.998,0.969,0.989,0.001,0.1012,2025121.98,200728.795,0.969,0.998,0.969,0.989
20230919,588120.SH,0.989,0.989,0.99,0.977,0.982,-0.007,-0.7078,1619646.0,158872.209,0.989,0.99,0.977,0.982
20230920,588120.SH,0.982,0.978,0.982,0.966,0.968,-0.014,-1.4257,1756539.0,170524.096,0.978,0.982,0.966,0.968
20230921,588120.SH,0.968,0.966,0.969,0.956,0.957,-0.011,-1.1364,2516290.0,241931.266,0.966,0.969,0.956,0.957
20230922,588120.SH,0.957,0.957,0.982,0.956,0.982,0.025,2.6123,3159501.0,306914.269,0.957,0.982,0.956,0.982
20230925,588120.SH,0.982,0.981,0.985,0.974,0.983,0.001,0.1018,1860513.0,181974.782,0.981,0.985,0.974,0.983
20230926,588120.SH,0.983,0.983,0.988,0.976,0.979,-0.004,-0.4069,2899081.0,284762.574,0.983,0.988,0.976,0.979
20230927,588120.SH,0.979,0.977,0.999,0.976,0.995,0.016,1.6343,4088460.0,406316.437,0.977,0.999,0.976,0.995
20230928,588120.SH,0.995,0.997,1.002,0.991,1.0,0.005,0.5025,2529351.0,252340.155,0.997,1.002,0.991,1.0
20231009,588120.SH,1.0,1.0,1.0,0.988,0.99,-0.01,-1.0,1883091.0,186819.253,1.0,1.0,0.988,0.99
20231010,588120.SH,0.99,0.99,0.994,0.981,0.981,-0.009,-0.9091,1630921.0,160873.676,0.99,0.994,0.981,0.981
20231011,588120.SH,0.981,0.982,1.005,0.982,0.998,0.017,1.7329,2310566.0,230773.503,0.982,1.005,0.982,0.998
20231012,588120.SH,0.998,0.999,1.005,0.993,1.003,0.005,0.501,2339885.0,233870.018,0.999,1.005,0.993,1.003
20231013,588120.SH,1.003,1.0,1.005,0.995,1.001,-0.002,-0.1994,1832889.0,183229.401,1.0,1.005,0.995,1.001
20231016,588120.SH,1.001,1.001,1.004,0.98,0.985,-0.016,-1.5984,2037199.0,200999.452,1.001,1.004,0.98,0.985
20231017,588120.SH,0.985,0.986,0.989,0.976,0.985,0.0,0.0,2808591.0,275628.216,0.986,0.989,0.976,0.985
20231018,588120.SH,0.985,0.982,0.984,0.967,0.969,-0.016,-1.6244,2054770.0,199749.822,0.982,0.984,0.967,0.969
20231019,588120.SH,0.969,0.968,0.979,0.963,0.967,-0.002,-0.2064,2138643.0,207763.836,0.968,0.979,0.963,0.967
